idMuscle,sMuscle,sMuscleFullName,idCluster1,idCluster2,idCluster3,idCluster4,idCluster5,nLengthMin,nLengthMax,nLpass,nLpassPercent,bCoupled,idDOFList,idDOFList_used,nPCSA,nSpecificTension,nFmax,nFpass,bFingerFlexion,bFingerExtension,bWristFlexion,bWristExtension,bWristSupination,bWristPronation,bThumbFlexion,bThumbExtension,bThumbAbduction,bThumbAdduction,nScaler,nStatic,nGainIa,nGainIb,sCouplingGroups,nBeta,sMuscleOld
1,SUPSP,Supraspinatus,0,0,0,0,0,0.0589908,0.128497,0.111121,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,SSPI
2,INFSP,Infraspinatus,0,0,0,0,0,0.0622699,0.131475,0.114174,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,ISPI
3,SUBSC,Subscapularis,0,0,0,0,0,0.083869,0.137865,0.124366,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,SSCAP
4,TERMI,Teres Minor,0,0,0,0,0,0.0892453,0.30579,0.251654,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,TERMI
5,TERMA,Teres Major,0,0,0,0,0,0.091631,0.266286,0.222623,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,TERMA
6,PECM_R,Pectoralis Major,0,0,0,0,0,0.0676244,0.158984,0.136144,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,PECM_R
7,PECM_M,Pectoralis Major,0,0,0,0,0,0.1373,0.252564,0.223748,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,PECM_M
8,PECM_C,Pectoralis Major,0,0,0,0,0,0.16533,0.270474,0.244188,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,PECM_C
9,LATD_R,Latissimus Dorsi,0,0,0,0,0,0.223732,0.366775,0.331015,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,LATD_R
10,LATD_M,Latissimus Dorsi,0,0,0,0,0,0.263605,0.416705,0.37843,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,LATD_M
11,LATD_C,Latissimus Dorsi,0,0,0,0,0,0.295463,0.395075,0.370172,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,LATD_C
12,CORBR,Coracobrachialis,0,0,0,0,0,0.134458,0.243996,0.216612,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,CORBR
13,DELT_A,Deltoid (Anterior),0,0,0,0,0,0.142257,0.280953,0.246279,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,DELT_A
14,DELT_LAT,Deltoid (Lateral),0,0,0,0,0,0.100653,0.218315,0.188899,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,DELT_LAT
15,DELT_P,Deltoid (Posterior),0,0,0,0,0,0.0722227,0.330617,0.266019,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,DELT_P
16,TRI_LO,Triceps Brachii Long Head,0,0,0,0,0,0.26958,0.317771,0.305723,0.75,0,26    27    28     29,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,TRI_LO
17,TRI_LAT,Triceps Brachii Lateral Head,0,0,0,0,0,0.16661,0.214801,0.202753,0.75,0,29,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,TRI_LAT
18,TRI_M,Triceps Brachii Medial Head,0,0,0,0,0,0.154238,0.202429,0.190381,0.75,0,29,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,TRI_M
19,ANC,Anconeus,0,0,0,0,0,0.0413297,0.0613141,0.056318,0.75,0,29,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,ANC
20,BIC_LO,Biceps Brachii Long Head,1,1,1,1,4,0.329084,0.460267,0.447149,0.9,0,26    27    28     29     8,29    8,3.12,35,109.2,10.92,0,0,0,0,1,0,0,0,0,0,1,0.5,0,1.2,Wrist Sup,1.50738,BIC_LO
21,BIC_SH,Biceps Brachii Short Head,1,1,1,1,4,0.248788,0.38068,0.36749,0.9,0,26    27    28     29     8,29    8,3.12,35,109.2,10.92,0,0,0,0,1,0,0,0,0,0,1,0.5,0,1.2,Wrist Sup,1.50738,BIC_SH
22,BR,Brachialis,0,0,0,0,0,0.0891089,0.130449,0.126315,0.9,0,29     8,29    8,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,BR
23,BRR,Brachioradialis,0,0,0,0,0,0.231428,0.331819,0.32178,0.9,0,29     8,29    8,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,BRR
24,SUP,Supinator,1,1,1,1,4,0.068988,0.0881937,0.0862732,0.9,0,8,8,7.3,35,255.5,25.55,0,0,0,0,1,0,0,0,0,0,1,0.5,0,1.2,Wrist Sup,1.50738,SUP
25,PT,Pronator Teres,2,2,2,2,3,0.217735,0.237955,0.235933,0.9,0,29     8,8,6.6,35,231,23.1,0,0,0,0,0,1,0,0,0,0,1,0.5,0,1.2,Wrist Pro,1.52996,PTER
26,PQ,Pronator quadratus,2,2,2,2,3,0.0221434,0.0414597,0.0337332,0.6,0,8,8,3.5,35,122.5,12.25,0,0,0,0,0,1,0,0,0,0,1,0.5,0,1.2,Wrist Pro,1.52996,PQUAD
27,ECR_LO,Extensor Carpi Radialis Longus,3,3,3,3,3,0.316036,0.444811,0.431933,0.9,0,8     9    30,8     9,4,35,140,14,0,0,0,1,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Ext,1.42979,ECR_LO
28,ECR_BR,Extensor Carpi Radialis Brevis,3,3,3,3,3,0.315064,0.352188,0.348476,0.9,0,8     9    30,8     9,4.9,35,171.5,17.15,0,0,0,1,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Ext,1.42979,ECR_BR
29,ECU,Extensor Carpi Ulnaris,3,3,3,3,3,0.318472,0.336444,0.334647,0.899999,0,29     8     9    30,8     9,3.5,35,122.5,12.25,0,0,0,1,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Ext,1.42979,ECU
30,FCR,Flexor Carpi Radialis,4,4,4,4,4,0.287388,0.337623,0.332599,0.9,0,8     9    30,8     9,5.2,35,182,18.2,0,0,1,0,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Flex,0.516032,FCR
31,FCU,Flexor Carpi Ulnaris,4,4,4,4,4,0.294839,0.899266,0.838823,0.9,0,8     9    30,8     9,10,35,350,35,0,0,1,0,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Flex,0.516032,FCU
32,PL,Palmaris Longus,4,4,4,4,4,0.303226,0.358955,0.353382,0.9,0,8     9    30,8     9,1.5,35,52.5,5.25,0,0,1,0,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Flex,0.516032,PALL
33,FDS5,Flexor Digitorum superficialis (pinky finger),5,5,5,5,4,0.312369,0.371185,0.365303,0.9,0,8     9    30    23    24,9    23    24,2.1,35,73.5,7.35,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Flex,1.02917,FDS5
34,FDS4,Flexor digitorum superficialis (ring finger),6,5,5,5,4,0.326811,0.387349,0.381295,0.9,0,8     9    30    20    21,9    20    21,2.4,35,84,8.4,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Flex,0.893824,FDS4
35,FDS3,Flexor digitorum superficialis (middle finger),7,5,5,5,4,0.335538,0.399579,0.393175,0.9,0,8     9    30    17     18,9    17     18,4.2,35,147,14.7,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Flex,0.97557,FDS3
36,FDS2,Flexor digitorum superficialis (index finger),8,6,5,5,4,0.334161,0.391799,0.386035,0.9,0,8     9    30    14    15,9    14    15,3.6,35,126,12.6,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Index Finger Flex,1.21227,FDS2
37,FDP5,Flexor digitorum profundus (pinky finger),5,5,5,5,4,0.32921,0.392516,0.386185,0.9,1,8     9    30    23    24    25,9    23    24    25,2.5,35,87.5,8.75,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Flex,1.02917,FDP5
38,FDP4,Flexor digitorum profundus (ring finger),6,5,5,5,4,0.344765,0.409434,0.402967,0.9,1,8     9    30    20    21    22,9    20    21    22,3.7,35,129.5,12.95,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Flex,0.893824,FDP4
39,FDP3,Flexor digitorum profundus (middle finger),7,5,5,5,4,0.356224,0.422659,0.416016,0.9,1,8     9    30    17    18    19,9    17    18    19,4.1,35,143.5,14.35,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Flex,0.97557,FDP3
40,FDP2,Flexor digitorum profundus (index finger),8,6,5,5,4,0.347701,0.415989,0.40916,0.9,1,8     9    30    14    15    16,9    14    15    16,4.1,35,143.5,14.35,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Index Finger Flex,1.21227,FDP2
41,EDM,Extensor Digiti Minimi,9,7,6,6,3,0.373124,0.422589,0.395376,0.449863,1,29     8     9    30    23    24    25,9    23    24    25,1.5,35,52.5,5.25,0,1,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Ext,1.48852,ED_M
42,ED5,Extensor digitorum (pinky finger),9,7,6,6,3,0.372148,0.424324,0.398653,0.507986,1,8     9   30     23    24    25,9     23    24    25,0.5,35,17.5,1.75,0,1,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Ext,1.48852,ED5
43,ED4,Extensor Digitorum (ring finger),10,7,6,6,3,0.386306,0.441575,0.414988,0.518946,1,8     9    30    20    21    22,9    20    21    22,1.2,35,42,4.2,0,1,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Ext,2.9082,ED4
44,ED3,Extensor Digitorum (middle finger),11,7,6,6,3,0.396909,0.458575,0.42936,0.526252,1,8    9    30    17    18    19,9    17    18    19,1.7,35,59.5,5.95,0,1,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Ext,1.83296,ED3
45,ED2,Extensor Digitorum (index finger),12,8,6,6,3,0.397135,0.458159,0.431726,0.566847,1,8    9    30    14    15    16,9    14    15    16,1.1,35,38.5,3.85,0,1,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Index Finger Ext,1.37593,ED2
46,EIND,Extensor Indicis,12,8,6,6,3,0.231973,0.292019,0.261134,0.485651,1,8     9    30    14    15    16,9    14    15    16,1.3,35,45.5,4.55,0,1,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Index Finger Ext,1.37593,EIND
47,EPL,Extensor Pollicis Longus,13,13,13,6,3,0.243783,0.294073,0.2746,0.612801,1,8     9    30    10    11    12    13,8     9    10    11    12    13,1.9,35,66.5,6.65,0,0,0,0,0,0,0,1,0,1,1,0.5,0,1.2,Thumb Add Ext,4.63157,EPL
48,EPB,Extensor Pollicis Brevis,14,14,14,14,14,0.168094,0.199906,0.179413,0.355798,0,9    30    10    11    12,9    10    11    12,1.3,35,45.5,4.55,0,0,0,0,0,0,0,1,1,0,1,0.5,0,1.2,Thumb Abd Ext,0.714622,EPB
49,FPB,Flexor Pollicis Brevis,15,15,15,5,4,0.0797008,0.104171,0.101724,0.9,0,10    11    12,10    11    12,1.3,35,45.5,4.55,0,0,0,0,0,0,1,0,1,0,1,0.5,0,1.2,Thumb Abd Flex,0.413733,FPB
50,FPL,Flexor Pollicis Longus,15,15,15,5,4,0.230746,0.289272,0.26485,0.582706,1,9     30    10    11    12    13,9    10    11    12    13,5.1,35,178.5,17.85,0,0,0,0,0,0,1,0,1,0,1,0.5,0,1.2,Thumb Abd Flex,0.413733,FPL
51,APL,Abductor Pollicis Longus,14,14,14,14,14,0.166005,0.198963,0.181983,0.484781,0,8    9    30    10    11,8    9    10    11,3.9,35,136.5,13.65,0,0,0,0,0,0,0,1,1,0,1,0.5,0,1.2,Thumb Abd Ext,0.714622,APL
52,OP,Opponens Pollicis ,15,15,15,5,4,0.0587826,0.0649328,0.0643178,0.9,0,10    11,10    11,2.9,35,101.5,10.15,0,0,0,0,0,0,1,0,1,0,1,0.5,0,1.2,Thumb Abd Flex,0.413733,OP
53,APB,Abductor Pollicis Brevis,15,15,15,5,4,0.0592955,0.0766637,0.0749269,0.9,0,10    11    12,10    11    12,1.5,35,52.5,5.25,0,0,0,0,0,0,1,0,1,0,1,0.5,0,1.2,Thumb Abd Flex,0.413733,APB
54,ADPT,Adductor Pollicis Transversus,16,16,16,16,16,0.0324838,0.0643976,0.0612062,0.9,0,10    11    12,10    11    12,0.9,35,31.5,3.15,0,0,0,0,0,0,1,0,0,1,1,0.5,0,1.2,Thumb Add Flex,5.45929,ADPT
